Reviews,Rating,Sentiment
Nice product...👍👍..,5,1
"It says 8 hrs but since I use this to watch lectures it gives more than 15hrs+ battery life.Sound quality is good, Highs & Lows are perfectly managed but to term these as Bass Heavy would be widely mistake.Overall 4 stars",4,1
the base is really good. it a value for this range of money.i really liked it.only the comfort has to be more good.,4,1
"This product was had manufacturing defect inside the plastic band material,from which it is now broken out, that could not be visible during product receiving time period. Please do something for this automatic damaging, I wanted number of time to connect with customer care service but no any my call receiving by customer service. Please do the satisfactory advice to repair or exchange purpose because this product is under guarantee period. I was received this order on 14 May 2020.",1,0
"Edit: After 1 year of usage.The headphone starts developing cracks in the overhead plastic band, the padding on the earcups and head band started coming off. The boat logo has completely vanished (all this happened even after taking utmost care). The sound is still fine.Please be aware of the cheap plastic and poor built quality of the headphone. Instead of this you can buy Blaupunkt BH01 Eqz headphones which are the best at this price.PS. The gold plating on the AUX cable will come off creating much disturbance while connecting and listening to music rendering it useless.EDIT: The sound cut-offs are annoying during watching films or playing. You can't hear some dialogues at low volume.Honest review after 46 days of usage...PROS:• Good sound quality, vocals are crystal clear. Nice to see AUX cable bundled in the box itself.• You can get rich bass in Bluetooth and above average bass using the wired connection.• The ear cups are padded with good quality foam and faux leather, no pain on continuous use (Used it for 2-2.5 hours and was still very comfortable).• Value for money, Got it for 1099/- only.• Not Bass heavy but you can tweak settings to get good bass.• Good fit and design.• Good Battery backup, got 7 hrs+ on single charge. Full charge takes about 2-3 hours, the orange LED goes off when fully charged.• Build quality is good considering the price of the product.• Call quality is average (the speaker is not so loud). The headphone also tells the Caller’s Number during an incoming call.• The Latency is also acceptable at this price point.CONS:• On Bluetooth, when the volume is kept very low and the music has a very low pitch, sometimes the left-right speakers turn ON and OFF automatically. (It can be eliminated by keeping volume bar at about 50%, also no problem when connected using Aux cable). I saw this problem in boAt Rockerz 450 as well.• When kept at 100% volume the sound tends to get distorted. (Its THD-Total Harmonic Distortion is ≤5%, whereas most good headphones have it at ≤1%)• The aux cable seems to be too thin so be careful while handling it.• The earcups are not sweat resistant so take care of it.",2,0
Sound is very crystal clearBass is very pretty and goodValue for money,5,1
Bass is disgusting... Range is good but when I tried PUBG it keeps disconnecting continuously...Useless headphone...I returned it on the same day I received.,1,0
I have used it for 1 month after then the headphone literally breaked. Please My Dear friends a slight little push can break it. Headphone quality Is Cheap. Not for gamers. Dont Buy It,1,0
"Marvelous performanceIf you watch movies or series in Netflix,amazon or Hotstar this head set is perfect option Crysta clear sound may be not deep bass but you feel like theatre effect with perfect clear sound just go for it .....",4,1
"I have been a huge fan of BoaT and have been purchasing headphones and wireless-only from them since it is an indian company.But, i was let down on the above product. Within one month the thing is broken. The sad part is that, when I uploaded the invoice which was downloaded from Amazon itself, the company BoaT has send a message to me stating the invoice is not theirs. So weird!!!So, when it comes to faulty products they have funny excuses to say NO.",1,0
"Headphones are great but recieved the already used by someone headphones. Seal was broken and was reattached. Scratches were visible along side the earcups. Also when i watch something on Netflix, either the right side or the left one randomly keeps disconnecting and reconnecting Returned the product.",4,1
"Didn't last for a month... It just broke .. as you can see. As one moth is over Amazon won't take it back. Whome to blame here Amazon or boat company!!If you still want to purchase..... Then go for jbl and sony products. Atleast they'll last much longer than than this pathetic product. You may spend 500-1000 extra money, but it worth it",1,0
Nice,4,1
Plz don't buy this product.. after using half an hour your ears will start paining. Instead on ads they should work on quality of products.it broke after usage of one month.totally wastage of money.,1,0
